Evento,Ciudad,Venue,Fecha,Tickets,GP,
Avenged Sevenfold,CDXM,Estadio GNP Seguros,17 de enero,,Y,
"Dark Tranquillity
",CDXM,Circo Volador,24 de enero,,N,
Cynic,CDXM,Circo Volador,25 de enero,,N,
"Rivers of Nihil
",CDXM,Foro Alicia,30 de enero,,N,
Death To All,CDMX,Circo Volador,1 de febrero,,Y,
Obituary,CDMX,Indie Rocks,5 de febrero,,N,
Psychonaut 4 ,CDMX,Circo Volador,6 de febrero,,N,
Ángeles del Infierno,CDMX,Arena Ciudad de México,15 de febrero,,N,
"Mexa Fest - Larva, Ulthar, Eye of Destruction, Goddam Particle y más bandas",Estado de Mexico,"Rock Son Cuatitlán Izcalli - Entrada Gratuita
Playera - $300",28 de febrero,,N,
Nile,CDMX,Foro Alicia,5 de marzo,,N,
NARGAROTH ,CDMX,Circo Volador,5 de marzo,,N,
VOLA,CDMX,Circo Volador,7 de Marzo,,N,
Moonspell,CDMX,Pepsi Center,13 de marzo,,N,
SYMPHONY X - 30TH ANNIVERSARY TOUR,CDMX,"Foro Teambro, Ciudad de Mexico",13 de marzo,,N,
"Metal Chingón II - Anima Tempo, Ulthar, Mythril y más bandas",Mexicalli,Foro Dragón,13 de marzo,,N,
"Metal Chingón II - Anima Tempo, Ulthar, Mythril y más bandas",Ensenada,Black Dog Rock Bar - Ensenada B.C.,14 de marzo,,N,
Alestorm,CDMX,Circo Volador,14 de marzo,,N,
"Vive Latino - Avatar, Ladrones, Lenny Kravitz, Tom Morello",CDMX,Estadio GNP Seguros,14 y 15 de marzo,,N,
Katatonia,CDMX,Foro Velódromo,15 de marzo,,N,
London After Midnight,CDMX,Auditorio BB,20 de marzo,,N,
Halestorm,CDMX,"PAbellon Oeste, Palacio de los deportes",24 de Marzo,,N,
"Veracruz Metal Fest II –- Intoxxxicated, Höwler y más bandas",Veracruz,Hotel Diana Cazadora,28 de marzo,,N,
"Tecate Pa'l Norte - Guns N' Roses, Deftones, The Warning",Monterrey,"Parque Fundidora de Monterrey, Nuevo León. ","27, 28 y 29 de marzo",,N,
Deftones,CDMX,Palacio de los Deportes,29 de marzo,,N,
AC/DC,CDMX,Estadio GNP Seguros,"7,11 y 15 de abril",,Y,
Dream Theater,CDMX,Arena Ciudad de México,10 de abril,,Y,
Ill Nino ,CDMX,F*ck off room,Cancelado,,N,
Jinjer,CDMX,Circo Volador,19 de abril,,N,
Architects,CDMX,Foro Velódromo,25 de abril,,Y,
Black Label Society,CDMX,Foro Velódromo,23 de abril - Cancelado,,N,
Midnigth,CDMX,Foro 28,26 de abril,,N,
Amaranthe,CDMX,Circo Volador,30 de abril,,N,
A.N.I.M.A.L,CDMX,F*ck off room,30 de abril,,N,
Twisted Sister (Sebastian Bach),CDMX,Velodromo Olimpico,1 de Mayo- Cancelado,,N,
Tankard,CDMX,Foro Alicia,1 de mayo,,N,
Beyond Creation y Felluja,CDMX,Circo Volador,3 de Mayo,,N,
Vader,CDMX,Foro Alicia,3 de mayo,,N,
In Flames,CDMX,Circo Volador,2 de Mayo,,N,
Megadeth,Monterrey,Arena Monterrey,8 de Mayo,,Y,
Megadeth,CDMX,Arena Ciudad de México,10 y 11 de Mayo,,N,
Megadetn,Guadalajara,Arena Guadalajara,13 de Mayo,,N,
Gutalax,CDMX,Foro 28,16 de mayo,,N,
Dogma,CDMX,Circo Volador,16 de Mayo,,N,
San Luís Metal Fest,San Luis Postosi,Teatro del Pueblo de la Feria Nacional Potosina (FENAPO),16 y 17 de mayo,,N,
Korn,CDMX,Palacio de los Deportes,19 de mayo - Funado,,N,
Metallica - Gojira y Knocked Loose,Frankfurt,Deutsche Bank Park,22 de mayo,,Y,
Metallica - Pantera y Avatar,Frankfurt,Deutsche Bank Park,24 de mayo,,Y,
System Of A Down ,CDMX,Estadio GNP Seguros,27 y 28 de mayo,,Y,
Turilli / Lione Rhapsody,CDMX,Pepsi Center,6 de junio,,N,
Rush,CDMX,Palacio de los Deportes,18 y 20 de junio,,N,
Havok,CDMX,F*ck off Room,2 de Julio,,Y,
Pestilence,Guadalajara,Foro Independencia,2 de Julio,,N,
Havok,CDMX,F*ck off Room,3 de Julio,,Y,
Pestilence,Tijuana,Black Box,3 de Julio,,N,
Pestilence,Hermosillo,London Pub,4 de Julio,,N,
Pestilence,Monterrey,Cafe Iguana,5 de Julio,,N,
Live Kristine,CDMX,Foro Alicia,7 de Julio,,N,
Pestilence,Leon,Rockstations,8 de Julio,,N,
Pestilence,Aguascalientes,Rocksi,9 de Julio,,N,
Hanabie ,Guadalajara,Teatro Esudio Cabaret,7 de Julio,,N,
Pestilence,CDMX,Circo Volador,10 de Julio,,N,
